tracker_id,yandex_tracker_id
0000003,5b0da9618b99440c9f49b8f41046f0f5
000001,6e6c928d7c5b42c3bde99378885b29f8
0000010,4b2b54959c46459fababfcee92844524
0000012,0eab5d2d53ad4ddcb0790e7ea22818a4
0000013,acda2d32771c4c7b976da6b0f12b2fa7
0000015,5d7364bf4adc487ca3ae4964d61654a6
0000016,81bc11a8df264500af5e90d957e7d97e
0000017,2e342c83f7934b25a7b7e6b5af7ea125
0000018,2a72497f4ea54edeaeccf6c68d29abc2
0000019,8d9907df5a6e45f9b0ac129195488d93
000002,70f20c45be7944d181ad6c7a3818fd2f
0000020,6875d394e39940d496656e5a5eab8755
0000021,4d0fd03cb6374db3a3790a10382e6c96
0000022,01bcde12cfb046099e73ac1e7f69b139
0000023,2711542bd9654171b567ed1800827ee4
0000024,99ec04cc90e4412dadfba95e40496ed4
0000025,4bba2005ea8e4e1fbcb1f43dfb7b1a6a
0000026,8b8daabe115248fd97bbc053f489b440
0000027,2be70965d25045fe9b7b754f23110940
0000028,e41a4cd820574332b47dd234926968b5
0000029,d0e8419708414ee5bc1cae22cb47eb90
0000030,5c5ba331771d404ca0f9eb2eba203392
0000031,2da0b82e2a47451d9ce2a40f82dfafb9
0000032,a8dff46830c1492fab498a2280e1c80a
0000033,dc0975ed2c2649f0a14bb3595a185a19
0000034,2bb2bbf0689d474a9fc2412cc70b7da7
0000035,01197a58b0c042489f50a8893239814c
0000036,8844409858e74e64950a278237b81c8a
0000038,6182a1c31bc44c7086c3f344ad74fca7
0000039,863d9199452c4de69670bd83b612ecb0
000004,674fcf9cc9a143a094df2ef67021e71f
0000040,b285e3d00d1441a1b862f0cda79d268a
0000041,93e53e6b1a1b4d7dbef45f1c802917d3
0000042,e743fb20a0ad465abf1deba03ea77331
0000044,2ce7e793656a451287208440593ce1b1
0000045,a7140bbe5e2c409bae2ed3c7a24c8e42
0000046,2474a937a254427fbafd6adf48a57ba2
0000047,fc7a86a5aa094d9ca6449e367db04f48
0000048,6623d19ba06b4e20b04050e8c111af59
0000049,11ec2ae978874c00a5cf19f374af62b3
000005,759bda9c15ab4077bd99d0790ced1375
0000051,bb918d70abb448008198b0f1834d04fe
0000052,fe4f551cb7e3427a8800aed3c4a140c2
0000053,7e8e0a7cf2a4475fa48c140bcef05da9
0000054,4d87f8c7ae614c7c89c7e0720b4044f1
0000055,5ef55bde17594688b664d2215df967c9
0000056,2064ade15e36463dbcd9df44296c1560
0000057,bb3b0d3ac75e4016ab25280ec1d970da
0000058,3e6c8cf0c38549588bddf5174ae6669e
0000059,317006fa5ea74d9884f9f18d56874183
000006,a71acaf1a71b4dfba7628742adf5735e
0000060,78dc21c4d78f4c55b3bf8b40c9e96608
0000061,065877b2cff84a4893c602e58de775d4
0000062,e166f74a348447a7aa2bab90ff02ab65
0000063,52aba6d1469545378052b6d5417260a5
0000064,12986d5f346243ee9909a88b1780250e
0000065,85fb6891d14e4bf3ae31d5cc971b46fc
0000067,fe703c0a80fc4e0684952f779fb9b9f9
0000068,feccbac59eae4294ac73f099fd76efe6
0000069,518c85cf99514947a77ebd6365cd12af
000007,d21c5f6b86064b228332aacc60aad8a9
0000070,df34804e5f8944d1b7abc24ef3c2eebe
0000071,4339a5d9bcca4d15a57e804fc5c8261c
0000072,fc0aa11ace64413eb370029be14b8c73
0000073,530464b174884be4bbbdd76d149a7a0a
0000074,a1cffbab4ef44bba859e257f0b33d236
0000075,a9bbea6780514e16bc21903e07a0bb84
0000076,fb9968c7ae6b453f9141233d61cb6251
0000077,31b1c24d71894b42b40d7930d0452035
0000078,832924233bb149c99297c404e5655c14
0000079,146feada68a74d1e9be2657a5a379363
000008,0947c79234154f43b4d79608ce13006c
0000080,126c334dbaad46d0ae2f76ecf6b02f03
